movieId,title,runtime,poster,year,genre,director,language,genre_name,language_name,runtime_name,rating_1,rating_2,cast,soup
318,The Shawshank Redemption,142,https://image.tmdb.org/t/p/w500//q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,1994,5,Frank Darabont,1,Drama,English,2h 22min,5.0,4.7,Tim Robbins,prison corruption policebrutality timrobbins morganfreeman bobgunton frankdarabont frankdarabont frankdarabont drama crime castlerockentertainment
858,The Godfather,175,https://image.tmdb.org/t/p/w500//3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972,5,Francis Ford Coppola,1,Drama,English,2h 55min,5.0,4.7,Marlon Brando,italy loveatfirstsight lossoffather marlonbrando alpacino jamescaan francisfordcoppola francisfordcoppola francisfordcoppola drama crime paramountpictures alfranproductions
2959,Fight Club,139,https://image.tmdb.org/t/p/w500//bptfVGEQuv6vDTIMVCHjJ9Dz8PX.jpg,1999,5,David Fincher,1,Drama,English,2h 19min,4.6,4.4,Edward Norton,supportgroup dualidentity edwardnorton bradpitt meatloaf davidfincher davidfincher davidfincher drama regencyenterprises fox2000pictures taurusfilm
296,Pulp Fiction,154,https://image.tmdb.org/t/p/w500//dRZpdpKLgN9nk57zggJCs1TjJb4.jpg,1994,6,Quentin Tarantino,1,Others,English,2h 34min,4.7,4.5,John Travolta,transporter brothel drugdealer johntravolta samuell.jackson umathurman quentintarantino quentintarantino quentintarantino thriller crime miramaxfilms abandapart jerseyfilms
58559,The Dark Knight,152,https://image.tmdb.org/t/p/w500//qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008,5,Christopher Nolan,1,Drama,English,2h 32min,4.8,4.5,Christian Bale,dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan christophernolan christophernolan drama action crime dccomics legendarypictures warnerbros.
356,Forrest Gump,142,https://image.tmdb.org/t/p/w500//h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,1994,3,Robert Zemeckis,1,Comedy,English,2h 22min,4.8,4.3,Tom Hanks,vietnamveteran hippie mentallydisabled tomhanks robinwright garysinise robertzemeckis robertzemeckis robertzemeckis comedy drama romance paramountpictures
79132,Inception,148,https://image.tmdb.org/t/p/w500//9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,2010,1,Christopher Nolan,1,Action,English,2h 28min,4.6,4.3,Leonardo DiCaprio,lossoflover dream kidnapping leonardodicaprio josephgordon-levitt ellenpage christophernolan christophernolan christophernolan action thriller sciencefiction legendarypictures warnerbros. syncopy
527,Schindler's List,195,https://image.tmdb.org/t/p/w500//c8Ass7acuOe4za6DhSattE359gr.jpg,1993,5,Steven Spielberg,1,Drama,English,3h 15min,5.0,4.6,Liam Neeson,factory concentrationcamp hero liamneeson benkingsley ralphfiennes stevenspielberg stevenspielberg stevenspielberg drama history war universalpictures amblinentertainment
109487,Interstellar,169,https://image.tmdb.org/t/p/w500//gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014,6,Christopher Nolan,1,Others,English,2h 49min,4.9,4.4,Matthew McConaughey,savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway christophernolan christophernolan christophernolan adventure drama sciencefiction paramountpictures legendarypictures warnerbros.
112552,Whiplash,105,https://image.tmdb.org/t/p/w500//6uSPcdGNA2A6vJmCagXkvnutegs.jpg,2014,5,Damien Chazelle,1,Drama,English,1h 45min,4.7,4.1,Miles Teller,jazz obsession milesteller j.k.simmons melissabenoist damienchazelle damienchazelle damienchazelle drama boldfilms blumhouseproductions rightofwayfilms
