title,movieId,rating
The Shawshank Redemption,318,4.5
The Godfather,858,
Fight Club,2959,4.5
Pulp Fiction,296,4
The Dark Knight,58559,
Forrest Gump,356,5
Inception,79132,4.5
Schindler's List,527,4.5
Interstellar,109487,5
Whiplash,112552,
The Empire Strikes Back,1196,4
千と千尋の神隠し,5618,5
The Lord of the Rings: The Return of the King,7153,5
The Godfather: Part II,1221,
Star Wars,260,4.5
The Green Mile,3147,
Se7en,47,
The Lord of the Rings: The Fellowship of the Ring,4993,5
The Lord of the Rings: The Two Towers,5952,5
The Silence of the Lambs,593,
Inside Out,134853,4
GoodFellas,1213,
Back to the Future,1270,4
Memento,4226,
American History X,2329,
The Imitation Game,116797,5
One Flew Over the Cuckoo's Nest,1193,5
Guardians of the Galaxy,112852,4
The Shining,1258,
The Lion King,364,4.5
The Matrix,2571,
The Grand Budapest Hotel,109374,
The Usual Suspects,50,
The Prestige,48780,
The Wolf of Wall Street,106782,4.5
Inglourious Basterds,68157,
Gone Girl,112556,
Psycho,1219,
Gladiator,3578,
Reservoir Dogs,1089,
Django Unchained,99114,
Room,140174,
Dead Poets Society,1246,5
Saving Private Ryan,2028,
Return of the Jedi,1210,
12 Angry Men,1203,
Alien,1214,
The Departed,48516,
ハウルの動く城,31658,5
もののけ姫,3000,5
Her,106920,4
Scarface,4262,
Shutter Island,74458,
WALL·E,60069,5
"Il buono, il brutto, il cattivo",1201,3.5
Big Hero 6,115617,5
12 Years a Slave,105844,
Eternal Sunshine of the Spotless Mind,7361,
Blade Runner,541,
Taxi Driver,111,
American Beauty,2858,4
The Truman Show,1682,5
Prisoners,104879,
2001: A Space Odyssey,924,
Up,68954,5
Dallas Buyers Club,106100,
Good Will Hunting,1704,4
Cidade de Deus,6016,
Harry Potter and the Prisoner of Azkaban,8368,4
Apocalypse Now,1208,
Toy Story,1,5
The Theory of Everything,117176,
Le fabuleux destin d'Amélie Poulain,4973,5
Kill Bill: Vol. 1,6874,
Requiem for a Dream,3949,
올드보이,27773,
The Dark Knight Rises,91529,
Gran Torino,64614,
V for Vendetta,44191,5
Into the Wild,55247,
The Pianist,5995,
The Big Lebowski,1732,
Terminator 2: Judgment Day,589,4
The Martian,134130,4.5
Raiders of the Lost Ark,1198,
Catch Me If You Can,5989,
Spotlight,142488,
Finding Nemo,6377,4.5
Trainspotting,778,
Captain America: The Winter Soldier,110102,4
Donnie Darko,4878,
Braveheart,110,5
Aliens,1200,
Edge of Tomorrow,111759,4.5
Jurassic Park,480,4.5
The Sixth Sense,2762,
Ex Machina,115713,4.5
The Notebook,8533,4.5
Toy Story 3,78499,4.5
The Hobbit: The Desolation of Smaug,106489,4.5
A Beautiful Mind,4995,5
No Country for Old Men,55820,
The Perks of Being a Wallflower,96821,
Snatch,4011,
The Hateful Eight,128360,
Titanic,1721,4.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,750,
Batman Begins,33794,
Kill Bill: Vol. 2,7438,
Harry Potter and the Philosopher's Stone,4896,4.5
Pirates of the Caribbean: The Curse of the Black Pearl,6539,5
Once Upon a Time in America,1227,
About Time,104374,
The Fault in Our Stars,111921,
X-Men: Days of Future Past,111362,4.5
The Pursuit of Happyness,47099,4.5
"Monsters, Inc.",4886,4.5
The Help,88810,
Million Dollar Baby,30707,5
Harry Potter and the Goblet of Fire,40815,
Nightcrawler,115569,
There Will Be Blood,56782,
C'era una volta il West,1209,
Indiana Jones and the Last Crusade,1291,
Rush,104913,
The Avengers,89745,4
How to Train Your Dragon 2,112175,4.5
Deadpool,122904,5
El laberinto del fauno,48394,
Casablanca,912,
Monty Python and the Holy Grail,1136,
Ratatouille,50872,5
Slumdog Millionaire,63082,
Iron Man,59315,4.5
How to Train Your Dragon,76093,5
The King's Speech,81845,
Die Hard,1036,
The Thing,2288,
Me Before You,152017,
七人の侍,2019,
Edward Scissorhands,2291,5
The Hunger Games: Catching Fire,106487,
Stand by Me,1259,
Captain Phillips,105504,
It's a Wonderful Life,953,
Harry Potter and the Chamber of Secrets,5816,4
Harry Potter and the Order of the Phoenix,54001,
Cast Away,4022,4
Harry Potter and the Half-Blood Prince,69844,
The Incredibles,8961,4.5
Hachi: A Dog's Tale,73290,5
The Lego Movie,108932,
Birdman,112183,
Star Trek,68358,
American Sniper,114662,
Star Trek Into Darkness,102445,
Mulan,1907,5
Casino,16,
Big Fish,7147,5
Fury,115210,5
Jaws,1387,
Back to the Future Part II,2011,
Drive,88129,
Shaun of the Dead,8874,
The Boy in the Striped Pyjamas,64034,
Moon,68237,
Avengers: Age of Ultron,122892,
Aladdin,588,
The Revenant,139385,
Tangled,81847,5
Rain Man,1961,4.5
